segment_id,road_name,corridor,mean_elevation_m,elev_range_m,mean_slope_deg,max_slope_deg,terrain_roughness,mean_curvature,stream_proximity_pct,mean_disp_mm,max_disp_mm,mean_coherence,rock_class,AADT_2022,truck_pct,truck_AADT,std_disp_mm,low_coh_pct,rock_risk_score,geology_enc,landcover_enc,known_unstable,rf_prob,risk_score,risk_category
1025,I-75,I-75,425.2,283.6,9.9,26.24,33.27,-0.0233,11.0,-6.63,-13.26,0.531,clastic_sedimentary,29576,21.6,6388,1.99,46.9,3,1,2,1,0.9671920473046779,0.6389,High
1026,I-75,I-75,364.8,60.6,2.69,6.11,9.12,-0.0056,10.8,-1.09,-2.18,0.663,carbonate,30784,22.6,6957,0.33,33.7,2,0,2,0,0.0,0.0955,Low
1027,I-75,I-75,353.6,52.3,2.62,8.11,8.34,-0.0015,10.6,-2.39,-4.78,0.731,carbonate,29116,21.9,6376,0.72,26.9,2,0,2,0,0.0,0.1024,Low
1028,I-75,I-75,358.3,70.3,3.97,11.68,12.15,0.0005,10.9,-3.24,-6.48,0.683,carbonate,31630,19.7,6231,0.97,31.7,2,0,2,0,0.0,0.1322,Low
1029,I-75,I-75,378.5,109.5,4.76,11.68,15.28,0.0016,10.8,-4.06,-8.12,0.679,carbonate,30391,24.3,7385,1.22,32.1,2,0,2,0,0.0,0.1579,Low
1030,I-75,I-75,404.7,138.9,6.27,16.55,21.38,0.0053,10.9,-8.57,-17.14,0.638,carbonate,31079,23.5,7303,2.57,36.2,2,0,2,1,0.6436557072290572,0.4616,Moderate
1031,I-75,I-75,387.8,166.0,9.79,19.68,30.48,0.02,10.9,-7.26,-14.52,0.522,carbonate,30839,23.6,7278,2.18,47.8,2,0,2,1,0.9651616871403396,0.5991,High
1032,I-75,I-75,352.2,119.4,11.15,19.42,32.78,-0.0317,10.5,-7.97,-15.94,0.528,carbonate,34744,20.2,7018,2.39,47.2,2,0,2,1,0.9264534357043939,0.599,High
1033,I-75,I-75,355.8,148.0,11.61,20.9,34.68,-0.0341,12.8,-8.32,-16.64,0.565,carbonate,32170,24.8,7978,2.5,43.5,2,0,2,1,0.9684180955007852,0.6248,High
1034,I-75,I-75,371.2,148.0,10.91,20.9,33.2,0.0052,14.1,-7.7,-15.4,0.569,carbonate,30829,19.2,5919,2.31,43.1,2,0,2,1,0.9641414228829471,0.6054,High
1035,I-75,I-75,358.3,140.0,8.84,20.51,26.68,0.0026,10.9,-5.57,-11.14,0.578,carbonate,33874,23.2,7858,1.67,42.2,2,0,2,1,0.9298981352033875,0.552,High
